name,ring,quadrant,isNew,description
Antropic Claude,Adopt,AI Models,FALSE,"<p><b>Description</b> - Version 2.5 and 3<br><b>License</b> - Closed Source<br><a href=""https://iairgroup.sharepoint.com/sites/MarketPlace/_layouts/15/listform.aspx?PageType=4&ListId=b3ed1401%2D9d83%2D48c6%2D9c4c%2Dd70594c3aed0&ID=1&ContentTypeID=0x010037586499F807494FB863B25B2B90B69A00A66F31D1B82CE14CB43F450E91B2AFED"">Go to item in Marketplace</a></p>"
Sage Maker Studio,Adopt,Platforms & Services,FALSE,"<p><b>Description</b> - <br><b>License</b> - Closed Source<br><a href=""https://iairgroup.sharepoint.com/sites/MarketPlace/_layouts/15/listform.aspx?PageType=4&ListId=b3ed1401%2D9d83%2D48c6%2D9c4c%2Dd70594c3aed0&ID=2&ContentTypeID=0x010037586499F807494FB863B25B2B90B69A00A66F31D1B82CE14CB43F450E91B2AFED"">Go to item in Marketplace</a></p>"
Common Data Layer,Adopt,Platforms & Services,FALSE,"<p><b>Description</b> - <br><b>License</b> - In-house<br><a href=""https://iairgroup.sharepoint.com/sites/MarketPlace/_layouts/15/listform.aspx?PageType=4&ListId=b3ed1401%2D9d83%2D48c6%2D9c4c%2Dd70594c3aed0&ID=3&ContentTypeID=0x010037586499F807494FB863B25B2B90B69A00A66F31D1B82CE14CB43F450E91B2AFED"">Go to item in Marketplace</a></p>"
Elastic Beanstalk,Assess,Platforms & Services,FALSE,"<p><b>Description</b> - <br><b>License</b> - Closed Source<br><a href=""https://iairgroup.sharepoint.com/sites/MarketPlace/_layouts/15/listform.aspx?PageType=4&ListId=b3ed1401%2D9d83%2D48c6%2D9c4c%2Dd70594c3aed0&ID=4&ContentTypeID=0x010037586499F807494FB863B25B2B90B69A00A66F31D1B82CE14CB43F450E91B2AFED"">Go to item in Marketplace</a></p>"
PowerBI,Adopt,Platforms & Services,FALSE,"<p><b>Description</b> - Tba.<br><b>License</b> - Closed Source<br><a href=""https://iairgroup.sharepoint.com/sites/MarketPlace/_layouts/15/listform.aspx?PageType=4&ListId=b3ed1401%2D9d83%2D48c6%2D9c4c%2Dd70594c3aed0&ID=5&ContentTypeID=0x010037586499F807494FB863B25B2B90B69A00A66F31D1B82CE14CB43F450E91B2AFED"">Go to item in Marketplace</a></p>"
AWS S3,Adopt,Platforms & Services,FALSE,"<p><b>Description</b> - Amazon Simple Storage Service (Amazon S3) is an object storage service<br><b>License</b> - Closed Source<br><a href=""https://iairgroup.sharepoint.com/sites/MarketPlace/_layouts/15/listform.aspx?PageType=4&ListId=b3ed1401%2D9d83%2D48c6%2D9c4c%2Dd70594c3aed0&ID=6&ContentTypeID=0x010037586499F807494FB863B25B2B90B69A00A66F31D1B82CE14CB43F450E91B2AFED"">Go to item in Marketplace</a></p>"
Amazon Bedrock,Trial,Platforms & Services,FALSE,"<p><b>Description</b> - A fully managed service that makes high-performing foundation models (FMs)<br><b>License</b> - <br><a href=""https://iairgroup.sharepoint.com/sites/MarketPlace/_layouts/15/listform.aspx?PageType=4&ListId=b3ed1401%2D9d83%2D48c6%2D9c4c%2Dd70594c3aed0&ID=7&ContentTypeID=0x010037586499F807494FB863B25B2B90B69A00A66F31D1B82CE14CB43F450E91B2AFED"">Go to item in Marketplace</a></p>"
Cloud Watch,Adopt,Tools & Components,FALSE,"<p><b>Description</b> - Tbc.<br><b>License</b> - Closed Source<br><a href=""https://iairgroup.sharepoint.com/sites/MarketPlace/_layouts/15/listform.aspx?PageType=4&ListId=b3ed1401%2D9d83%2D48c6%2D9c4c%2Dd70594c3aed0&ID=8&ContentTypeID=0x010037586499F807494FB863B25B2B90B69A00A66F31D1B82CE14CB43F450E91B2AFED"">Go to item in Marketplace</a></p>"
Docker,Adopt,Tools & Components,FALSE,"<p><b>Description</b> - Tba.<br><b>License</b> - N/A<br><a href=""https://iairgroup.sharepoint.com/sites/MarketPlace/_layouts/15/listform.aspx?PageType=4&ListId=b3ed1401%2D9d83%2D48c6%2D9c4c%2Dd70594c3aed0&ID=9&ContentTypeID=0x010037586499F807494FB863B25B2B90B69A00A66F31D1B82CE14CB43F450E91B2AFED"">Go to item in Marketplace</a></p>"
Github,Adopt,Platforms & Services,FALSE,"<p><b>Description</b> - Tba.<br><b>License</b> - N/A<br><a href=""https://iairgroup.sharepoint.com/sites/MarketPlace/_layouts/15/listform.aspx?PageType=4&ListId=b3ed1401%2D9d83%2D48c6%2D9c4c%2Dd70594c3aed0&ID=10&ContentTypeID=0x010037586499F807494FB863B25B2B90B69A00A66F31D1B82CE14CB43F450E91B2AFED"">Go to item in Marketplace</a></p>"
